epoch,train_loss,test_loss,accuracy,best_acc,learning_rate,saved_best,saved_checkpoint,elapsed_s,timestamp
1,0.311724,0.179849,0.930612,0.930612,8.00e-04,1,0,26.9,2026-03-19T22:15:09Z
2,0.119222,0.047067,0.983655,0.983655,8.00e-04,1,0,30.8,2026-03-19T22:15:41Z
3,0.089693,0.044556,0.983964,0.983964,8.00e-04,1,0,28.4,2026-03-19T22:16:12Z
4,0.078924,0.031512,0.99017,0.99017,8.00e-04,1,0,27.2,2026-03-19T22:16:41Z
5,0.066165,0.030326,0.989939,0.99017,8.00e-04,0,1,28.3,2026-03-19T22:17:09Z
6,0.070041,0.025647,0.990941,0.990941,8.00e-04,1,0,28.1,2026-03-19T22:17:39Z
1,0.175297,0.035091,0.985738,0.985738,8.00e-04,1,0,122.0,2026-03-19T22:26:06Z
1,1.6111,1.588105,0.454545,0.454545,8.00e-04,1,0,0.1,2026-03-19T23:02:02Z
2,1.513705,1.586112,0.454545,0.454545,8.00e-04,0,0,0.1,2026-03-19T23:02:02Z
3,1.44094,1.58295,0.454545,0.454545,8.00e-04,0,0,0.1,2026-03-19T23:02:02Z
4,1.360219,1.579703,0.454545,0.454545,8.00e-04,0,0,0.1,2026-03-19T23:02:02Z
5,1.294865,1.575741,0.454545,0.454545,8.00e-04,0,1,0.1,2026-03-19T23:02:03Z
6,1.233696,1.571369,0.454545,0.454545,8.00e-04,0,0,0.1,2026-03-19T23:02:03Z
7,1.177139,1.567258,0.454545,0.454545,8.00e-04,0,0,0.1,2026-03-19T23:02:03Z
8,1.110039,1.564456,0.454545,0.454545,8.00e-04,0,0,0.1,2026-03-19T23:02:03Z
9,1.117872,1.564913,0.424242,0.454545,8.00e-04,0,0,0.1,2026-03-19T23:02:03Z
10,1.064076,1.567516,0.181818,0.454545,8.00e-04,0,1,0.1,2026-03-19T23:02:03Z
11,1.017607,1.571583,0.181818,0.454545,8.00e-04,0,0,0.1,2026-03-19T23:02:03Z
1,0.174132,0.063271,0.979856,0.979856,8.00e-04,1,0,116.2,2026-03-19T23:09:33Z
2,0.082425,0.038288,0.988847,0.988847,8.00e-04,1,0,121.0,2026-03-19T23:11:41Z
3,0.055401,0.034389,0.986677,0.988847,8.00e-04,0,0,119.6,2026-03-19T23:13:41Z
4,0.04427,0.020512,0.992662,0.992662,8.00e-04,1,0,116.4,2026-03-19T23:15:44Z
5,0.03784,0.012348,0.996632,0.996632,8.00e-04,1,1,128.0,2026-03-19T23:17:59Z
6,0.033966,0.012315,0.996061,0.996632,8.00e-04,0,0,114.3,2026-03-19T23:19:53Z
7,0.032703,0.011344,0.996733,0.996733,8.00e-04,1,0,114.7,2026-03-19T23:21:55Z
8,0.027844,0.009848,0.997397,0.997397,8.00e-04,1,0,123.2,2026-03-19T23:24:05Z
9,0.027688,0.00897,0.997575,0.997575,8.00e-04,1,0,115.9,2026-03-19T23:26:08Z
10,0.02664,0.01162,0.996648,0.997575,8.00e-04,0,1,114.8,2026-03-19T23:28:03Z
11,0.026886,0.011469,0.996702,0.997575,8.00e-04,0,0,113.9,2026-03-19T23:29:57Z
12,0.025027,0.009566,0.997328,0.997575,8.00e-04,0,0,112.8,2026-03-19T23:31:49Z
13,0.022216,0.00873,0.997297,0.997575,8.00e-04,0,0,112.7,2026-03-19T23:33:42Z
14,0.023624,0.00721,0.998285,0.998285,8.00e-04,1,0,113.6,2026-03-19T23:35:43Z
15,0.021365,0.008536,0.997729,0.998285,8.00e-04,0,1,117.3,2026-03-19T23:37:40Z
16,0.023355,0.010008,0.996787,0.998285,8.00e-04,0,0,114.5,2026-03-19T23:39:35Z
17,0.018944,0.007319,0.998231,0.998285,8.00e-04,0,0,114.0,2026-03-19T23:41:29Z
18,0.021511,0.008925,0.997243,0.998285,8.00e-04,0,0,112.6,2026-03-19T23:43:21Z
19,0.021755,0.007158,0.998108,0.998285,8.00e-04,0,0,109.9,2026-03-19T23:45:11Z
20,0.021951,0.007892,0.997212,0.998285,8.00e-04,0,1,109.6,2026-03-19T23:47:01Z
21,0.017698,0.008847,0.997443,0.998285,8.00e-04,0,0,109.2,2026-03-19T23:48:50Z
22,0.020023,0.01533,0.994416,0.998285,8.00e-04,0,0,109.0,2026-03-19T23:50:39Z
23,0.018905,0.006173,0.998641,0.998641,8.00e-04,1,0,108.0,2026-03-19T23:52:34Z
24,0.019331,0.006505,0.998756,0.998756,8.00e-04,1,0,109.8,2026-03-19T23:54:30Z
25,0.020341,0.006617,0.998316,0.998756,8.00e-04,0,1,109.0,2026-03-19T23:56:19Z
26,0.020575,0.005826,0.998448,0.998756,8.00e-04,0,0,109.1,2026-03-19T23:58:09Z
27,0.018948,0.00662,0.998324,0.998756,8.00e-04,0,0,111.0,2026-03-20T00:00:00Z
28,0.019597,0.007365,0.998231,0.998756,8.00e-04,0,0,108.6,2026-03-20T00:01:48Z
29,0.016814,0.011986,0.997304,0.998756,8.00e-04,0,0,109.9,2026-03-20T00:03:38Z
30,0.018743,0.008632,0.99742,0.998756,8.00e-04,0,1,110.0,2026-03-20T00:05:28Z
1,0.093664,0.015365,0.995746,0.995746,8.00e-04,1,0,448.5,2026-03-20T06:14:34Z
2,0.032903,0.014874,0.995538,0.995746,8.00e-04,0,0,438.7,2026-03-20T06:21:53Z
3,0.025537,0.00764,0.997885,0.997885,8.00e-04,1,0,444.4,2026-03-20T06:29:44Z
4,0.022047,0.006696,0.9982,0.9982,8.00e-04,1,0,440.2,2026-03-20T06:37:31Z
5,0.020446,0.009992,0.997352,0.9982,8.00e-04,0,1,442.5,2026-03-20T06:44:54Z
6,0.018693,0.009426,0.996963,0.9982,8.00e-04,0,0,429.2,2026-03-20T06:52:03Z
7,0.018417,0.007535,0.997775,0.9982,8.00e-04,0,0,430.4,2026-03-20T06:59:13Z
8,0.017914,0.00832,0.997589,0.9982,8.00e-04,0,0,429.0,2026-03-20T07:06:22Z
9,0.017428,0.007959,0.997684,0.9982,8.00e-04,0,0,436.5,2026-03-20T07:13:39Z
10,0.018579,0.006097,0.998721,0.998721,8.00e-04,1,1,440.2,2026-03-20T07:21:26Z
11,0.017232,0.006755,0.998644,0.998721,8.00e-04,0,0,440.3,2026-03-20T07:28:46Z
12,0.017203,0.013555,0.996407,0.998721,8.00e-04,0,0,434.9,2026-03-20T07:36:01Z
13,0.01655,0.005643,0.998569,0.998721,8.00e-04,0,0,433.0,2026-03-20T07:43:14Z
14,0.015892,0.005684,0.998522,0.998721,8.00e-04,0,0,435.3,2026-03-20T07:50:29Z
15,0.016476,0.009092,0.997893,0.998721,8.00e-04,0,1,434.2,2026-03-20T07:57:44Z
16,0.016502,0.00929,0.996907,0.998721,8.00e-04,0,0,440.1,2026-03-20T08:05:04Z
